Sentence,Label
"Although exercise is beneficial for heart health, excessive training can lead to muscle damage.","Contrastive Emphasis"
"While antibiotics are effective against bacteria, they do not work on viral infections.","Contrastive Emphasis"
"Although the liver regenerates efficiently, extensive damage can still lead to failure.","Contrastive Emphasis"
"While sunlight exposure is necessary for vitamin D production, too much can increase skin cancer risk.","Contrastive Emphasis"
"Although painkillers relieve symptoms, they do not treat the underlying cause.","Contrastive Emphasis"
"While vaccines prevent infections, booster shots are sometimes required to maintain immunity.","Contrastive Emphasis"
"Although aerobic exercises enhance endurance, they may not significantly build muscle strength.","Contrastive Emphasis"
"While sugary drinks provide quick energy, they can also lead to insulin spikes.","Contrastive Emphasis"
"Although chemotherapy kills cancer cells, it often damages healthy cells as well.","Contrastive Emphasis"
"While high-protein diets support muscle repair, they can strain the kidneys if overdone.","Contrastive Emphasis"
"Although a low-fat diet is good for heart health, some fats are essential for brain function.","Contrastive Emphasis"
"While bone density decreases with age, resistance training can slow the process.","Contrastive Emphasis"
"Although hydration is critical for metabolism, drinking too much water can dilute electrolytes.","Contrastive Emphasis"
"While genetic predisposition plays a role in diseases, lifestyle choices also significantly impact outcomes.","Contrastive Emphasis"
"Although antioxidants protect cells, an excess can sometimes interfere with natural processes.","Contrastive Emphasis"
"While mental rest helps cognitive function, complete inactivity may lead to mental decline.","Contrastive Emphasis"
"Although the immune system fights infections, it can sometimes attack the body in autoimmune diseases.","Contrastive Emphasis"
"While dieting promotes weight loss, extreme calorie restriction can harm metabolism.","Contrastive Emphasis"
"Although exercise boosts mental health, overtraining can lead to psychological fatigue.","Contrastive Emphasis"
"While regular check-ups detect diseases early, they cannot prevent them entirely.","Contrastive Emphasis"
"Although the body produces vitamin D naturally, deficiencies are common in regions with little sunlight.","Contrastive Emphasis"
"While surgery resolves certain issues, it often involves long recovery periods.","Contrastive Emphasis"
"Although calcium strengthens bones, excessive intake can cause kidney stones.","Contrastive Emphasis"
